SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
"Health, Public Services and Care",Health and Social Care,All,Higher (Level 5) Apprenticeship,All,All,All,All,Other Service Activities,10.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Apprenticeship,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,Other Service Activities,10.0,0.0
Preparation for Life and Work,All,Education & Training,Level 3 Other,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Apprenticeship,All,Standard apprenticeship,Female,All,All,Other Service Activities,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,All,Female,All,All,Accommodation And Food Service Activities,1680.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,All,All,Female,All,All,Unknown,1900.0,0.0
"Health, Public Services and Care",Health and Social Care,All,All,All,Female,All,All,Real Estate Activities,1130.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,Not applicable,All,50 and over,All,Unknown,460.0,0.0
Digital Technology,All,Apprenticeship,All,All,All,25 - 49,All,Financial And Insurance Activities,340.0,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,All,18 and under,All,Manufacturing,690.0,0.0
Engineering and Manufacturing Technologies,All,All,All,All,All,18 and under,All,Human Health And Social Work Activities,260.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Accommodation And Food Service Activities,740.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,All,All,All,White,Construction,430.0,0.0
"Business, Administration and Law",All,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,660.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,Standard apprenticeship,All,All,White,Administrative And Support Service Activities,1780.0,0.0
Engineering and Manufacturing Technologies,All,All,All,Not applicable,All,All,White,"Water Supply - Sewerage, Waste Management And Remediation Activities",170.0,0.0
"History, Philosophy and Theology",All,All,All,Not applicable,All,All,White,Administrative And Support Service Activities,100.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,All,All,All,All,All,Manufacturing,2010.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,All,Not applicable,All,All,All,Other Service Activities,150.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,11770.0,2.0
"Agriculture, Horticulture and Animal Care",All,All,Level 2 Other,Not applicable,All,All,All,"Agriculture, Forestry And Fishing",220.0,0.0
All,All,All,Entry Level ESOL,Not applicable,All,All,All,Construction,720.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,All,2320.0,0.0
"Languages, Literature and Culture",Linguistics,All,All,Not applicable,All,50 and over,All,All,50.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,All,Not applicable,All,All,Asian / Asian British,All,1310.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,All,Not applicable,All,All,White,All,3680.0,0.0
Not Applicable / Not Known,All,All,All,Not applicable,Female,All,All,Accommodation And Food Service Activities,250.0,0.0
Education and Training,All,All,All,All,Female,All,All,Transportation And Storage,110.0,0.0
Engineering and Manufacturing Technologies,All,All,All,All,Female,All,All,Construction,110.0,0.0
