SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,Level 1 English & Maths,All,All,All,All,Transportation And Storage,210.0,0.0
"Arts, Media and Publishing",All,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Transportation And Storage,10.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,Female,All,All,"Professional, Scientific And Technical Activities",110.0,0.0
"Health, Public Services and Care",Public Services,All,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,All,200.0,0.0
All,All,All,All,Standard apprenticeship,All,All,White,Unknown,1160.0,0.0
"Business, Administration and Law",Business Management,All,Higher (Level 5) Apprenticeship,Standard apprenticeship,All,All,All,Accommodation And Food Service Activities,160.0,0.0
"Business, Administration and Law",All,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Unknown,760.0,0.0
"Business, Administration and Law",Accounting and Finance,All,All,Not applicable,Female,All,All,Unknown,320.0,0.0
"Arts, Media and Publishing",All,All,Level 2 Other,All,All,All,All,Unknown,830.0,0.0
"Health, Public Services and Care",All,Education & Training,All,All,Male,All,All,Information And Communication,530.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,All,All,18 and under,All,"Agriculture, Forestry And Fishing",70.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,All,Not applicable,All,All,White,Real Estate Activities,280.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,Not applicable,All,19 - 24,All,Human Health And Social Work Activities,40.0,0.0
All,All,Apprenticeship,All,Standard apprenticeship,All,50 and over,All,"Professional, Scientific And Technical Activities",100.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Apprenticeship,All,All,All,All,All,Human Health And Social Work Activities,60.0,0.0
"Health, Public Services and Care",All,Education & Training,Level 3 Other,All,All,All,All,Transportation And Storage,270.0,0.0
"Business, Administration and Law",All,Education & Training,Level 3 Other,All,All,All,All,Manufacturing,200.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Business, Administration and Law",Administration,All,All,All,All,All,Mixed / Multiple ethnic groups,"Professional, Scientific And Technical Activities",80.0,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,Male,All,All,Mining And Quarrying,10.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Education & Training,All,Not applicable,Female,All,All,Education,80.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,Education & Training,All,Not applicable,All,All,All,Construction,180.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,Full level 2,Not applicable,All,All,All,Real Estate Activities,50.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,All,Full level 2,All,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,150.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Apprenticeship,All,All,All,All,Asian / Asian British,Accommodation And Food Service Activities,50.0,0.0
Education and Training,Direct Learning Support,Apprenticeship,All,Standard apprenticeship,Female,All,All,Information And Communication,c,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,Higher (Level 5) Apprenticeship,All,All,All,All,Other Service Activities,c,0.0
"Construction, Planning and the Built Environment",All,Education & Training,Level 2 Other,All,All,All,All,"Arts, Entertainment And Recreation",60.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,Other,Not applicable,All,All,All,Human Health And Social Work Activities,c,0.0
Education and Training,Teaching and Lecturing,Apprenticeship,All,Standard apprenticeship,Male,All,All,Manufacturing,c,0.0
"Arts, Media and Publishing",Media and Communication,All,All,Not applicable,All,19 - 24,All,Transportation And Storage,20.0,0.0
Retail and Commercial Enterprise,All,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,"Agriculture, Forestry And Fishing",20.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,All,100.0,0.0
Education and Training,Direct Learning Support,Education & Training,All,Not applicable,All,All,Asian / Asian British,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
Digital Technology,All,All,Entry Level Digital,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,20.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,30.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,All,All,All,All,25 - 49,All,Unknown,70.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,Not applicable,All,18 and under,All,Public Administration And Defence - Compulsory Social Security,30.0,0.0
Social Sciences,Economics,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,Advanced Apprenticeship,Framework apprenticeship,All,All,All,"Professional, Scientific And Technical Activities",c,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Education & Training,All,Not applicable,All,50 and over,All,Human Health And Social Work Activities,40.0,0.0
Education and Training,All,All,Level 5,Not applicable,All,All,All,"Professional, Scientific And Technical Activities",c,0.0
Engineering and Manufacturing Technologies,Engineering,Education & Training,All,All,All,All,Other ethnic group,Public Administration And Defence - Compulsory Social Security,c,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,Level 3 Other,Not applicable,All,All,All,Manufacturing,60.0,0.0
"History, Philosophy and Theology",History,Education & Training,All,All,All,All,Unknown,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Construction, Planning and the Built Environment",Building and Construction,Apprenticeship,All,All,Female,All,All,"Professional, Scientific And Technical Activities",40.0,0.0
Social Sciences,Politics,Education & Training,All,Not applicable,Female,All,All,Real Estate Activities,c,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,Higher (Level 6) Apprenticeship,All,All,All,All,Administrative And Support Service Activities,10.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,All,All,25 - 49,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,All,All,All,18 and under,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,All,Male,All,All,Mining And Quarrying,10.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,Level 3 Other,All,All,All,All,Education,10.0,0.0
Retail and Commercial Enterprise,Not Applicable / Not Known,All,All,Not applicable,Female,All,All,Human Health And Social Work Activities,c,0.0
Preparation for Life and Work,Preparation for Work,All,All,Not applicable,Female,All,All,Other Service Activities,310.0,0.0
Social Sciences,All,All,All,Not applicable,Female,All,All,Human Health And Social Work Activities,780.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,Not applicable,All,25 - 49,All,Human Health And Social Work Activities,170.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,All,Not applicable,All,50 and over,All,Other Service Activities,210.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,Education & Training,All,All,All,18 and under,All,Real Estate Activities,30.0,0.0
"Business, Administration and Law",All,Education & Training,All,Not applicable,All,18 and under,All,Construction,370.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Standard apprenticeship,All,50 and over,All,Human Health And Social Work Activities,1480.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,All,All,25 - 49,All,Manufacturing,180.0,0.0
"Business, Administration and Law",Business Management,All,All,Not applicable,All,All,White,Administrative And Support Service Activities,1430.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,Not applicable,All,All,White,Administrative And Support Service Activities,830.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,Full level 3,All,All,All,All,Unknown,230.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,All,Not applicable,All,All,All,Administrative And Support Service Activities,3420.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,All,All,Financial And Insurance Activities,40.0,0.0
Retail and Commercial Enterprise,All,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Transportation And Storage,210.0,0.0
Digital Technology,All,All,Entry Level Digital,Not applicable,All,All,All,Administrative And Support Service Activities,270.0,0.0
Digital Technology,All,Education & Training,All,Not applicable,Female,All,All,All,9740.0,1.0
Retail and Commercial Enterprise,Service Enterprises,All,All,All,All,25 - 49,All,All,8060.0,1.0
"Agriculture, Horticulture and Animal Care",All,All,All,Not applicable,Female,All,All,"Professional, Scientific And Technical Activities",620.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,All,All,18 and under,All,"Arts, Entertainment And Recreation",770.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,Not applicable,All,18 and under,All,Real Estate Activities,60.0,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,All,25 - 49,All,Information And Communication,250.0,0.0
All,All,All,Entry Level Digital,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,340.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,Not applicable,All,All,White,"Professional, Scientific And Technical Activities",460.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Apprenticeship,All,All,All,All,Asian / Asian British,Human Health And Social Work Activities,310.0,0.0
"Business, Administration and Law",All,All,Full level 3,All,All,All,All,Information And Communication,220.0,0.0
Education and Training,All,Education & Training,All,Not applicable,All,All,Unknown,All,210.0,0.0
Education and Training,Teaching and Lecturing,Apprenticeship,Higher (Level 4) Apprenticeship,All,All,All,All,Education,280.0,0.0
"Health, Public Services and Care",All,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Real Estate Activities,210.0,0.0
"Business, Administration and Law",Administration,Education & Training,All,All,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,410.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,Full level 2,Not applicable,All,All,All,Unknown,1230.0,0.0
"Leisure, Travel and Tourism",All,All,All,All,All,All,White,Information And Communication,190.0,0.0
Digital Technology,Digital technology (practitioners),All,All,Standard apprenticeship,All,All,Other ethnic group,All,70.0,0.0
